beta0,beta1,beta2,chains
-1.9232070425891636,-0.6111224445769167,-4.290691589392113,1
-2.3249132824817416,-0.6918601722310623,-3.8590008351506553,1
-2.191063932963026,-0.6450670570832673,-3.7407883413768666,1
-2.2573856176529716,-0.6965578252477348,-3.487120768520663,1
-1.4701304586765689,-0.751728995968597,-3.8441236249541486,1
-1.6945244581975,-0.7679607357532583,-4.110639758854474,1
-1.6014724434504581,-0.6563620632233499,-4.1645088134602934,1
-1.5112056698940373,-0.7210028000020883,-4.18067608192536,1
-0.9795478535686315,-0.6670394489507513,-4.0998896157015,1
-1.0227361574521827,-0.6577608851570322,-4.1894561725145,1
-1.3451515712973412,-0.47642856200312445,-4.376929797900619,1
-1.103126825857848,-0.7459456908468407,-4.360422586920167,1
-1.3906725007593157,-0.7903060493470576,-4.776846116225484,1
-1.1363062697472643,-0.911823899626475,-4.824672990206042,1
-1.0737646737527171,-1.019200928823306,-4.563878945570554,1
-0.9802818353749922,-1.0210267348093325,-4.8392916506762,1
-1.5482685383666652,-0.9053769147948322,-4.804326811700698,1
-1.5642824627988565,-0.9562712135521406,-4.820172530292572,1
-1.6029917322180076,-0.7731015083189438,-4.954053811795583,1
-1.6008475928606536,-0.7690377983548704,-4.913984092042988,1
-1.4064596720076663,-0.7200106173278514,-4.7444029010128315,1
-2.2633483909135967,-0.6222019620828293,-4.700034478322861,1
-2.5488621784424845,-0.6517606046956281,-4.8291261744301535,1
-2.738842527844103,-0.6697411845753373,-4.834091482068381,1
-2.9782287113130166,-0.6219127407180387,-4.542418431219361,1
-3.1270986693858482,-0.556281826488604,-4.623555262395386,1
-2.975401932832936,-0.5122521493364061,-4.5628351543862475,1
-2.964377559182024,-0.5496837905821277,-4.1719339451307915,1
-2.6570326376854525,-0.6304893322697822,-4.249818311069165,1
-2.733623975465025,-0.608561005115049,-4.401025768153143,1
-2.543197959481209,-0.5798947393298439,-4.460370292395876,1
-2.6067039098256544,-0.6461920677287443,-4.8537662766226495,1
-1.8285776047318645,-0.6009072006183188,-4.649841133163097,1
-1.6884143111992207,-0.6055713117490606,-4.522502268145319,1
-2.21169732983847,-0.6085562881530273,-4.436433090554656,1
-2.1385466675926046,-0.6685029553628146,-4.277700363191045,1
-2.166458600035875,-0.7354739137666152,-4.281040740211903,1
-2.0901472636409393,-0.7468739709760882,-4.38938536212233,1
-1.8530195764273591,-0.6921712507356156,-4.748076728320988,1
-1.7750623535676788,-0.6894684637561594,-4.943263582658095,1
-1.8567712856232221,-0.6269000936432456,-5.11859136349958,1
-1.9300868503043462,-0.6974428037704135,-5.359854084032087,1
-2.1754275411951527,-0.6974133886321645,-5.089399599521699,1
-2.3894907019217646,-0.7721047530163576,-5.208318446383256,1
-2.5414634239107947,-0.6766316240441089,-5.427125991093554,1
-2.014249368927334,-0.6500814094723469,-5.193724717511414,1
-2.1758245520718287,-0.7305430062367367,-5.063004164370953,1
-1.6339027031501352,-0.8575776659804961,-4.910437518651508,1
-1.5482776493332446,-0.8793514924207108,-4.8523523261654935,1
-1.1073041422222143,-0.9110339511363351,-4.534330743735298,1
-0.6804470594603989,-0.9016585712519406,-4.544481812749148,1
-0.6818451309443198,-0.9140066285778661,-4.408268407054494,1
-0.861244946892753,-0.8931375571760524,-4.498985883348888,1
-0.08773348469970588,-0.8699085184505778,-4.571067466387774,1
-0.14178766707231677,-0.911466546603661,-4.461992837210772,1
-0.294084344286707,-0.851123151444092,-4.436330644895496,1
-0.20300767931434766,-0.8965772681605102,-4.6670540673061645,1
-0.29945318323875847,-0.8176495106751014,-4.6978315398513555,1
-0.3948049531138017,-0.7340517671418508,-5.0829275233143125,1
-0.3177373149814198,-0.7788006169335971,-5.032738073579534,1
-0.20639603159762804,-0.8764297049341425,-5.141568062714491,1
-0.35126380275979574,-0.7444024407475347,-4.807441172205079,1
-1.0937350188047894,-0.7672166654481337,-5.215703268013242,1
-0.8437596611972012,-0.7361135431701462,-5.062126913395225,1
-1.1621893898439117,-0.6586702224413675,-4.998681613746547,1
-1.2665819268703342,-0.7323594258967744,-4.9537458132628425,1
-1.0268250567693074,-0.7692255137343326,-4.713386141488811,1
-1.47982687730889,-0.6405748575405039,-4.749177070999945,1
-0.9267403155061789,-0.6754107979229911,-4.702809512810803,1
-0.784974264704871,-0.7021007909378618,-4.434362936012334,1
-0.6245775832983185,-0.6960502413550137,-4.8882626929971975,1
0.2941041706483949,-0.8402098804783688,-5.4256024415026625,1
0.2560438161769127,-0.8077599855576085,-5.711494847145012,1
0.38601368322662427,-0.8622556692175285,-5.823021982860085,1
0.13849722791163732,-0.6965664507764392,-5.778108834407699,1
0.49488171604270176,-0.7187721619112091,-5.6314337226352675,1
0.3050492742849309,-0.6973854819401113,-5.606476051254877,1
0.04103280332642395,-0.6706248032607016,-5.544389406020209,1
-0.4313860430922397,-0.6141388295240744,-5.632402365868225,1
-0.2886154988912055,-0.7199645077442048,-5.527590163912141,1
-0.2960286899598632,-0.7670202206959696,-5.706763585438754,1
-0.047491117456408605,-0.8154271355421805,-5.64050359522323,1
-0.13528153712630706,-0.8959279975183375,-5.743829005566566,1
-0.02079292629957738,-0.9385733312519362,-5.781897530053078,1
1.0744966761798735,-0.9420316130420877,-5.531753494393102,1
1.0636319898733222,-0.9960608941465375,-5.672717343947226,1
1.1981196855679996,-0.9949349932702679,-5.801731496203173,1
0.7410456595254242,-0.8511555627290884,-5.573248662122561,1
0.7546941007479127,-0.8743748269049275,-5.635347335427434,1
0.8810799581702538,-0.9116305960651235,-5.905111870979913,1
0.4590211278390891,-0.8633240933559374,-5.836088141569264,1
0.7026169285758549,-0.9112151655212477,-6.024913750827684,1
0.4474943730420366,-0.9313834457342652,-5.947722978972909,1
0.5949576814982447,-1.0234203803504034,-5.744813442851805,1
0.1609789082143217,-0.9629641913036038,-5.773702285323592,1
0.23992884295035485,-1.0330033912475662,-5.777670964857586,1
-0.23386813411100985,-0.9936165384113077,-5.692204559300842,1
0.4788137023888476,-0.9267153983463651,-5.364469168231997,1
-0.23773539208546135,-0.9014160473506222,-5.43610945755874,1
0.05298011407645353,-0.9585324143829512,-5.156248916148977,1
0.004279116858336471,-0.9307104511280481,-5.347991020240111,1
0.2822940397897115,-0.9452754984255117,-5.469546176851086,1
0.6220997293070183,-1.109348478915258,-5.6250857045582885,1
1.0218041084803808,-1.2328298398248922,-5.482743626810956,1
1.1864157295710278,-1.332135868954493,-5.4028850278876455,1
1.0400881905713595,-1.3160047886575286,-5.025659959716827,1
1.2348670098172394,-1.2816872415104932,-5.361078982691277,1
1.0478068423067812,-1.2593809994539242,-5.255212085887413,1
1.4548483243761912,-1.2869726823305407,-5.240911420788837,1
1.7319089181667593,-1.37039181868901,-4.950291738826192,1
2.1878363580377798,-1.547157338596845,-5.1399103928949135,1
2.0766828969717483,-1.5338290992374808,-5.347048631147735,1
2.021980084919128,-1.4943386973484616,-5.079648207346596,1
2.178042215067435,-1.4525802096132368,-5.029657452229532,1
2.4566115501268753,-1.5972552526566615,-5.190073205273651,1
2.737417440390224,-1.7407408060815508,-5.180982523982494,1
2.9597559082698517,-1.8665184364573848,-4.948052992583546,1
3.664608937529115,-1.8404061003814782,-4.877751073526055,1
4.175503314161825,-1.8436995014583115,-4.832346791028894,1
3.825597089568471,-1.7872124948351689,-4.2336213481538465,1
3.2840602592943324,-1.714027397002182,-3.9960627359198786,1
3.173167073215852,-1.7390416513548717,-3.971456315208447,1
3.0698677724826093,-1.774174364193351,-4.4625673443547225,1
3.990174690733062,-1.7107222096971426,-4.338105953578223,1
3.222476445870247,-1.5674890877302672,-4.6455135004762855,1
3.0646562732755225,-1.4698823340643665,-4.66988132614316,1
2.8924111482356136,-1.3773559567761668,-4.581347279338459,1
2.821280045462487,-1.3403861128419303,-4.9625158601451895,1
2.205444464294789,-1.154153782730204,-4.807764112435457,1
1.8558026547307278,-1.1329197501726467,-4.859538319706275,1
2.0516436822296034,-1.2468592634749185,-4.414944582708626,1
2.0120456071558244,-1.2721173272418602,-4.5054388745853915,1
2.4672092981323885,-1.3004702747440897,-4.427095917914778,1
2.45036201594255,-1.316952990435051,-4.57396355424307,1
2.5910282712708415,-1.2604558778271424,-4.688220559854035,1
2.5744651112477994,-1.2661072722088846,-4.571075201469498,1
1.7613395511001848,-1.0905968816231,-5.052759641329222,1
1.9313834426107226,-1.0725799232123243,-5.034856263286128,1
1.854483047486518,-1.0442462347900412,-5.126185704221178,1
1.1046361892197558,-0.9760612515759887,-4.903366076863611,1
1.5033020789206044,-0.9865437931429112,-4.991180280083177,1
1.449505524898324,-0.9724211103302245,-5.116399203950083,1
1.0748742222006467,-0.9011355735580909,-4.966014266701219,1
1.3302184610749963,-0.9054215981524135,-4.912521424870219,1
1.1979715626049994,-0.9364040789495627,-5.174453748260631,1
0.8756632919735534,-0.8558412466295338,-5.160725929878821,1
1.2094775280620647,-0.8617358705614935,-5.17474509508938,1
1.6042051441785945,-0.9002358022820734,-4.805146195730904,1
2.4809747708016205,-1.0051336458632452,-4.883750521983822,1
1.7471371533557571,-0.9308302242621626,-5.172955341934088,1
1.8553665782261186,-1.0892021892091883,-5.150923306386353,1
2.167930065186737,-1.0729859757536024,-5.074724079721158,1
2.5256390779972344,-1.2436112291063648,-5.149166164158681,1
2.8922413599648458,-1.40028555458483,-5.249926452549442,1
2.8980303666572835,-1.4608241573442662,-5.1728960082683155,1
2.8554055990790905,-1.5390120414008945,-5.38032715312122,1
2.913198490640566,-1.5477222679494247,-5.16669175455401,1
2.6147226220627795,-1.6732428111626734,-5.027551490370516,1
2.7885334612561206,-1.7634201807718628,-5.039776972403297,1
2.7075853270670134,-1.7256863908684175,-4.9767702633613675,1
3.48212724945149,-1.813893135050134,-4.864161460348672,1
3.090151420925785,-1.6824892678899843,-4.732191093395471,1
3.560934031874391,-1.6490224911561273,-4.683001712072769,1
3.478549473797096,-1.6093363594698473,-4.689415765811979,1
3.203537612469154,-1.465541338156171,-4.513903605172408,1
3.2106040586217452,-1.5066747706173726,-4.681456009874164,1
3.231877534526786,-1.50285357228699,-4.90612565508246,1
3.673289250269319,-1.5437462213188768,-5.178481899425973,1
3.9048934717080583,-1.5591823434157317,-4.762973303656018,1
3.167645502801075,-1.5993647009732723,-4.594102578963151,1
3.0849469701487076,-1.7311941251760925,-4.193893752913396,1
2.8392192415343427,-1.776413018697453,-4.383527641161214,1
3.295764373395177,-1.8887843326076925,-4.485745894933739,1
3.3851415345526834,-1.9780696919698777,-4.38976843764733,1
2.999716718952024,-1.9449745475880083,-4.07757125859991,1
3.2876526504344454,-1.952212714926398,-4.235218222965414,1
3.176392634975982,-2.0772863769675287,-4.330097073397915,1
3.2272291610968504,-2.1607827306980636,-4.226121052383333,1
3.199345981082542,-2.145445348810007,-4.225852604333881,1
2.831479859530159,-2.2330081749399633,-4.177073753684149,1
2.822082558711836,-2.094446728888525,-4.319846620729623,1
3.1345698960421644,-2.2850163092072706,-4.295049673148544,1
3.247200050906311,-2.2949016234128177,-4.238759475610754,1
3.514546302490193,-2.4448444226293637,-4.122878953849249,1
3.0576255149106255,-2.481354660023439,-4.261948251966764,1
3.1506786405387386,-2.4573845192787767,-4.601801109149007,1
2.9772147251100978,-2.2734182295701406,-4.787032265471096,1
3.137425850032365,-2.1967771783833787,-4.3797088002713975,1
2.8482065957775426,-2.1684777799603876,-4.73067885529017,1
3.4814565078073714,-2.186227526503623,-4.813074554714978,1
3.3459150917039584,-2.1998706162932637,-4.608541563634851,1
